Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,generate column 1,generate column 2,generate column 3,generate column 4,categorical2,categorical3
I,0.24,0.175,0.065,0.0665,0.031,0.0135,0.017,3,0.38,0.17,0.98,0.9,e,W
I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027000000000000003,6,-0.34,1.6,1.95,-0.7,e,W
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4,-0.19,-0.23,0.69,0.27,e,W
I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,0.12,-0.16,0.9,1.45,e,W
I,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4,0.1,-0.74,-0.23,-3.09,e,W
I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5,-0.68,-0.04,-0.04,-0.25,e,W
,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4,1.36,-0.1,-1.89,1.65,,
I,0.3,0.23,0.095,0.1385,0.056,0.0365,0.037000000000000005,6,-0.27,-0.94,-0.25,0.92,e,H
I,0.305,0.22,0.07,0.141,0.062,0.031,0.037000000000000005,5,-1.82,-0.53,-0.91,-0.69,e,W
I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6,-0.67,0.43,-0.76,0.04,e,A
I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8,-1.99,-0.49,1.56,-0.1,e,B
I,0.32,0.24,0.09,0.1575,0.07,0.0265,0.0425,5,-0.18,0.03,0.17,0.44,e,H
I,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05,6,-1.59,-2.08,1.65,0.29,p,W
I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6,-1.03,1.59,0.94,0.38,e,H
I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7,-0.04,0.46,-0.96,-1.69,p,H
I,0.335,0.25,0.075,0.18600000000000005,0.0945,0.038,0.0445,7,0.08,-0.01,1.03,2.84,p,O
I,0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,5,0.97,-0.48,0.39,-1.09,e,O
I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7,-0.02,1.25,1.49,0.56,e,B
I,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7,-0.91,-0.3,-1.13,-0.02,e,H
I,0.37,0.29,0.095,0.249,0.1045,0.058,0.067,6,-0.02,-0.71,0.55,0.52,e,H
I,0.37,0.28,0.095,0.2865,0.1505,0.069,0.0795,7,-0.34,0.06,0.16,1.34,e,W
I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6,0.25,0.4,-1.17,1.01,e,B
I,0.385,0.265,0.08,0.251,0.124,0.037000000000000005,0.07,6,-0.85,-0.58,-0.42,-0.46,e,W
I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7,-1.33,-0.52,-1.78,0.05,e,W
I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7,-0.8,-0.74,0.89,0.88,e,W
I,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6,0.41,-1.09,0.78,-0.02,e,W
I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6,-0.22,-1.56,-1.89,-0.37,e,H
I,0.42,0.32,0.115,0.376,0.16899999999999998,0.092,0.1,5,-0.19,-0.25,-0.88,-0.93,e,W
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6,-0.52,0.05,-0.26,-0.43,e,W
I,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6,0.7,-0.56,0.16,-1.82,e,B
I,0.425,0.315,0.1,0.377,0.1645,0.07200000000000001,0.105,6,0.71,-0.51,-1.39,0.54,e,W
I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7,1.94,0.45,1.97,1.68,e,B
I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7,-1.47,0.64,0.73,0.04,e,B
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8,2.73,1.87,0.06,-0.24,p,W
I,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6,1.16,0.86,0.98,-0.72,e,
I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,-1.5,-0.29,0.72,-0.56,e,W
I,0.44,0.325,0.09,0.35,0.14800000000000002,0.067,0.105,7,-0.27,-1.58,1.35,-0.39,e,B
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6,1.48,0.21,0.2,1.05,e,W
I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7,0.6,2.02,-0.42,0.55,p,
I,0.45,0.36,0.13,0.478,0.191,0.127,0.13699999999999998,7,1.78,0.68,0.56,1.07,e,W
I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8,0.42,-0.48,2.01,1.45,e,B
I,0.45,0.345,0.11,0.47,0.2355,0.0855,0.1135,7,0.11,1.31,0.07,-2.81,e,B
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7,0.21,-1.04,-0.04,-1.08,e,B
I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7,-0.5,-2.47,0.18,0.79,e,W
I,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6,-1.44,-0.16,-0.28,0.56,e,W
I,0.46,0.36,0.1,0.4635,0.2325,0.093,0.115,7,0.91,-0.19,0.22,1.04,e,H
I,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7,-0.4,-1.6,1.43,-1.12,e,
I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7,-0.97,-0.98,0.51,0.12,e,W
I,0.465,0.37,0.115,0.534,0.261,0.098,0.14300000000000002,7,-1.08,-0.18,1.21,-0.58,p,W
I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7,-0.2,1.41,-1.74,0.43,e,O
F,0.465,0.35,0.125,0.482,0.23,0.106,0.1095,6,-0.79,-1.72,0.95,0.28,e,H
M,0.47,0.365,0.12,0.612,0.327,0.15,0.14,8,-1.46,0.89,0.28,0.11,e,B
F,0.47,0.365,0.12,0.5820000000000001,0.29,0.092,0.146,8,0.76,-1.21,0.03,-0.59,e,W
M,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9,0.71,0.7,-0.28,1.32,e,W
F,0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6,-0.76,-0.63,1.88,0.99,e,A
M,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6,1.22,-0.65,0.0,-0.22,p,H
M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6,-0.31,1.71,0.76,-0.22,p,H
M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,-0.11,-0.21,-0.1,-1.43,e,W
M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7,1.41,0.51,0.75,-0.13,e,W
F,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7,-0.47,-0.91,1.18,-1.55,e,B
M,0.49,0.385,0.125,0.649,0.32,0.124,0.1695,8,1.76,-0.18,1.11,0.38,e,W
M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8,-0.5,-0.65,1.78,0.19,e,W
M,0.495,0.4,0.135,0.61,0.272,0.1435,0.14400000000000002,7,0.01,-2.66,-1.33,-0.59,p,W
M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6,-0.45,0.23,1.09,-0.83,e,W
I,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8,-1.27,1.85,-1.83,-1.33,e,W
M,0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,7,0.57,0.27,0.53,0.2,e,H
M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7,1.47,0.58,0.78,-0.33,e,B
F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9,-0.34,0.69,0.18,-0.25,e,H
I,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8,-0.61,-1.61,0.65,-1.0,e,B
M,0.505,0.41,0.125,0.642,0.289,0.133,0.155,9,-0.09,-0.58,-1.47,0.0,e,H
I,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8,1.86,0.57,-1.42,1.11,e,H
M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8,1.02,-0.51,-1.23,0.37,e,B
I,0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7,0.53,0.77,-0.96,-0.44,p,B
I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,-1.72,0.46,-1.11,1.56,e,W
M,0.51,0.405,0.15,0.7035,0.34700000000000003,0.134,0.1885,8,0.39,-2.23,2.11,2.38,e,W
M,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955,8,-0.88,-0.09,0.31,1.04,e,B
F,0.515,0.43,0.14,0.8340000000000001,0.3670000000000001,0.2,0.23,8,-0.6,-0.54,-0.61,-0.06,e,W
M,0.515,0.39,0.155,0.7125,0.3695,0.13699999999999998,0.155,7,-1.05,-1.0,1.34,-0.51,e,
F,0.525,0.415,0.14,0.7240000000000001,0.3475,0.173,0.175,8,0.45,-0.78,0.24,-1.43,e,W
M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11,1.22,-0.04,0.82,-0.3,e,W
F,0.53,0.425,0.13,0.7585,0.325,0.197,0.205,8,-0.39,0.42,1.44,-0.39,e,H
F,0.53,0.425,0.15,0.8495,0.328,0.232,0.202,8,0.09,0.7,0.57,0.27,e,B
M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.18600000000000005,7,-1.14,-0.34,1.05,-1.68,e,W
F,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8,0.79,0.17,0.4,1.16,e,
M,0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8,-0.42,-0.6,-2.44,0.21,e,B
M,0.535,0.435,0.14,0.8740000000000001,0.3735,0.229,0.2195,8,0.9,0.67,-0.47,-0.43,e,H
F,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,9,-0.77,0.22,1.24,1.62,e,W
F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9,-0.35,1.32,0.39,1.34,e,W
F,0.56,0.455,0.16,0.967,0.4525,0.207,0.274,9,0.78,-0.67,-0.1,1.44,e,B
F,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,8,0.02,1.42,0.21,-1.65,e,B
M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10,0.16,-0.74,-0.41,-0.42,p,H
M,0.57,0.45,0.155,1.1935,0.513,0.21,0.343,10,0.45,0.87,-0.17,-0.24,e,W
F,0.57,0.455,0.15,1.107,0.54,0.255,0.27,8,1.68,-0.19,0.1,-0.98,e,W
M,0.57,0.445,0.14,1.0635,0.5265,0.2195,0.24,8,0.63,-1.66,0.22,-0.18,e,W
M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7,0.85,0.43,-2.16,0.82,e,W
M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9,0.76,0.03,-1.2,0.36,e,O
F,0.575,0.46,0.16,1.103,0.5379999999999999,0.221,0.249,9,0.61,-0.19,-1.18,-0.27,e,A
F,0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7,-0.96,0.56,0.22,0.56,e,H
F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,1.15,-0.53,-0.52,0.69,e,
M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10,-0.27,-0.02,0.37,-1.11,e,B
F,0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8,1.27,1.64,-0.73,-1.35,e,W
M,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,9,-0.57,0.78,-0.85,1.05,e,W
M,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11,0.15,1.7,-0.44,1.59,e,W
M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8,-0.44,0.18,-0.09,1.05,e,W
F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,-0.19,-0.95,0.84,0.36,e,B
F,0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,11,-0.03,1.05,1.57,-0.12,p,B
F,0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11,1.24,1.02,-0.63,-0.35,e,B
M,0.595,0.475,0.165,1.213,0.621,0.2435,0.274,9,-0.54,0.15,1.65,0.47,e,W
F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,-0.83,-0.46,-0.68,-0.56,e,W
M,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9,-0.23,-1.33,-2.29,-0.41,p,B
F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9,0.83,-2.8,0.09,-0.48,e,W
M,0.605,0.475,0.155,1.161,0.5720000000000001,0.2455,0.275,9,0.35,1.05,-0.7,1.06,e,H
M,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,11,-0.34,-0.28,0.12,-1.04,e,W
M,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,11,-0.94,0.52,-2.14,0.2,e,W
M,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,10,0.7,0.81,1.24,-1.93,e,H
F,0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8,0.2,-1.56,-0.28,-0.5,e,W
F,0.62,0.51,0.18,1.3315,0.594,0.276,0.388,11,-1.0,-0.25,-2.07,-0.62,e,W
F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10,0.23,-0.38,0.74,-0.85,e,W
M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10,-0.01,0.09,0.57,0.64,e,W
F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10,-0.53,1.47,-0.67,-0.72,e,W
F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9,1.36,0.19,-1.34,-0.31,e,W
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,-0.29,-0.21,-0.02,0.21,e,W
M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,-0.8,-0.35,0.16,0.35,e,W
F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11,-0.49,-1.54,1.67,0.17,e,W
M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,-0.23,-1.25,0.35,0.0,p,N
M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,0.13,-0.09,-2.03,1.99,e,W
M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,0.23,0.25,-1.38,-0.05,e,W
M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,0.74,-0.91,0.43,-0.25,e,W
F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11,-0.05,2.24,-0.51,1.46,e,W
F,0.64,0.5,0.175,1.394,0.4935,0.29100000000000004,0.4,10,1.98,-2.61,-1.66,0.84,e,H
F,0.645,0.5,0.155,1.2205,0.6145,0.236,0.3185,10,-0.83,-0.16,0.7,-0.44,p,W
M,0.645,0.52,0.175,1.636,0.779,0.342,0.4320000000000001,11,-1.0,-0.46,0.26,1.56,p,B
M,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8,0.23,-0.13,-0.9,-1.37,e,H
F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,0.04,0.33,-0.23,0.89,e,W
M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,0.37,-0.95,-0.45,1.62,e,W
F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,-0.13,-0.85,-0.06,-0.07,e,W
F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,-0.45,-1.62,0.79,0.18,e,W
M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,2.36,-0.35,-1.64,1.18,p,B
M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,-0.08,0.98,-1.33,-0.42,e,B
M,0.65,0.525,0.185,1.622,0.6645,0.3225,0.477,10,-1.0,-0.25,0.98,0.25,e,W
F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9,-2.02,0.06,0.49,-0.42,e,W
F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.403,10,0.97,-0.47,1.48,0.22,e,H
F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,-0.73,-0.97,-0.5,-1.74,e,W
M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,-0.9,0.48,0.63,-0.51,e,W
M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10,-0.17,-0.62,0.98,0.61,e,W
F,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6,-1.0,-0.89,0.32,0.85,p,W
M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,-0.31,0.89,1.85,-1.6,e,W
F,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10,-0.48,-0.95,-1.06,-0.28,e,W
F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.5529999999999999,12,0.02,0.66,0.27,0.72,e,W
M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,0.39,-0.71,-2.15,-0.11,e,W
M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8,-0.57,-2.18,-0.22,0.72,e,W
M,0.69,0.505,0.2,1.872,0.893,0.4015,0.48,10,-0.48,0.38,2.05,-0.85,e,B
F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,0.56,-0.19,-1.12,-1.0,e,W
F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,0.31,-1.03,0.49,-1.7,p,W
M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,0.08,-0.58,0.28,-1.01,e,B
M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,1.71,-0.56,0.94,0.02,e,W
F,0.715,0.525,0.185,1.56,0.6655,0.383,0.405,11,0.18,0.31,-0.15,0.13,e,H
F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11,-1.34,0.52,0.15,-0.86,e,W
M,0.765,0.6,0.22,2.302,1.007,0.509,0.6205,12,-0.4,0.99,0.43,0.49,e,W
I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4,-0.79,-0.85,1.09,-1.16,e,B
I,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011,3,-0.45,0.59,-0.08,-1.06,e,H
I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4,-0.04,-0.43,0.2,0.44,e,W
I,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,4,0.66,0.71,0.18,-0.48,e,A
I,0.225,0.165,0.055,0.059,0.027000000000000003,0.0125,0.015,4,-1.27,-2.27,1.83,-1.68,e,B
I,0.245,0.18,0.065,0.071,0.03,0.013,0.0215,4,-0.84,-1.1,-2.22,0.77,e,W
I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,1.18,-0.5,-1.97,-1.26,e,H
I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,1.98,-0.68,0.99,0.59,e,N
I,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.028,6,0.38,1.29,0.08,-1.03,e,W
I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,0.39,0.82,1.45,0.07,e,B
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,-1.02,0.15,0.04,-0.01,e,B
I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,0.24,0.55,-0.58,0.89,p,B
I,0.315,0.235,0.055,0.151,0.065,0.027000000000000003,0.039,6,-1.32,-0.13,0.46,1.59,e,W
I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,0.65,1.16,-0.78,0.95,e,B
I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,-0.23,-0.85,-0.22,-0.94,e,H
I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,1.34,-0.34,0.6,0.84,e,H
I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,0.53,-0.61,0.83,0.42,e,W
I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,-0.03,0.66,-0.13,0.18,e,H
I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,0.61,1.55,0.75,2.7,p,
I,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6,-1.06,0.77,-0.14,-0.45,e,W
I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,3.45,1.26,1.59,0.86,e,B
I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,-2.37,-1.18,0.66,0.92,e,W
I,0.41,0.325,0.1,0.3245,0.132,0.07200000000000001,0.106,6,0.29,-0.58,-0.23,0.09,e,B
I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,0.04,-0.94,1.72,1.56,e,H
I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,-0.79,-1.05,-0.72,0.58,p,W
I,0.42,0.31,0.095,0.279,0.1255,0.051,0.08800000000000001,6,-0.81,-0.09,1.71,-1.15,e,W
I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,-1.3,0.26,-0.73,0.42,e,H
M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,0.93,0.65,0.66,-0.22,e,N
I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,-0.66,-1.98,0.43,0.92,p,W
I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,-1.26,-0.75,-1.0,0.64,e,B
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,-1.03,-0.15,-0.25,-0.6,e,W
I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.117,7,0.65,1.1,0.04,-0.22,e,W
I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,0.32,0.3,0.92,-0.39,e,H
I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,-0.48,2.42,0.09,-0.85,e,O
I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,1.73,0.34,-1.31,1.44,e,W
I,0.45,0.34,0.12,0.4925,0.241,0.1075,0.12,6,-0.38,-1.45,0.02,0.85,p,W
I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,-2.33,-0.3,0.3,0.71,e,W
I,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6,-0.05,-0.19,0.05,-0.47,e,H
I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,0.32,-0.26,0.45,-1.69,e,B
I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,-0.46,0.35,0.4,0.79,e,W
M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,0.65,-0.31,-2.61,1.51,e,
I,0.47,0.38,0.125,0.4845,0.211,0.1075,0.142,6,0.42,-0.73,0.26,0.36,e,B
I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,-0.46,0.27,-1.52,1.12,p,B
I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,1.38,1.28,-0.1,1.25,e,B
I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,-0.93,1.62,-0.11,-1.63,e,H
M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,2.26,0.38,0.52,1.25,e,O
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7,0.13,-0.75,-0.39,-1.11,p,W
I,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9,0.87,-0.66,0.97,1.12,e,W
I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,-0.99,-0.08,-0.46,-0.79,e,N
M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6,-1.79,0.53,-2.02,0.29,e,W
F,0.505,0.39,0.125,0.5445,0.246,0.15,0.1405,7,-1.36,-0.62,0.75,0.49,p,O
I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,-1.27,1.52,-3.09,-1.32,e,W
F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,-2.28,0.85,0.22,-0.28,e,W
I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,-0.8,1.85,1.55,0.04,p,B
I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,-1.32,2.02,-0.17,-0.87,e,B
I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,0.86,-1.18,1.08,-0.17,e,W
M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,0.29,0.94,-0.39,-0.04,e,B
I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,-0.5,-0.13,1.88,-0.14,e,B
I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8,1.6,1.7,-0.93,0.07,p,B
F,0.52,0.46,0.15,1.019,0.523,0.1985,0.254,7,0.7,-0.24,1.07,0.99,e,B
I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,0.92,1.55,1.38,0.03,e,B
I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,0.08,-0.76,0.26,0.26,e,W
M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,1.52,0.34,0.23,-0.28,e,H
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,-0.88,0.08,1.01,2.68,e,W
I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8,0.08,-0.07,-1.0,0.46,e,W
I,0.535,0.39,0.125,0.599,0.2595,0.149,0.16899999999999998,9,1.34,1.42,-0.32,1.34,e,H
I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,0.03,0.2,1.14,0.36,e,W
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,-0.08,-1.29,1.61,-1.25,e,W
M,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9,0.84,0.8,-0.07,1.77,e,W
M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,-0.4,0.94,0.24,0.65,e,B
F,0.55,0.415,0.135,0.8145,0.4270000000000001,0.1855,0.175,8,0.57,-1.23,0.24,-0.2,e,H
F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,0.13,-0.69,-2.37,0.23,e,H
M,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10,0.65,-1.02,-0.95,0.85,e,H
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,1.73,0.15,-1.68,-2.21,e,W
M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,0.68,0.92,0.36,-0.89,e,W
F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,0.5,0.77,0.91,-1.42,e,W
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,0.44,-0.98,2.04,-0.17,e,H
M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,-1.42,-1.57,0.25,-0.05,p,H
M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,1.11,0.24,0.18,0.63,e,B
F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,-0.78,0.57,-0.14,-2.15,p,W
M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,0.24,-0.04,-0.63,-0.32,e,B
F,0.57,0.445,0.145,0.8775,0.412,0.217,0.22,8,0.25,-1.06,-0.32,0.29,e,N
I,0.57,0.44,0.15,0.755,0.3425,0.16,0.224,8,0.2,0.12,-0.3,2.07,e,B
F,0.575,0.46,0.145,0.9945,0.466,0.229,0.265,7,0.75,1.21,-0.26,-0.26,e,B
F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,-0.86,-0.92,-0.6,1.92,e,N
M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,0.07,0.8,0.37,0.12,e,H
